NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Ben Brown,CHC,SP/RP,,FA,,,-66.36,196.0,129.64,5.19,-208.75800000000004,0.0
Frankie Montas,NYM,SP,32.0,Young Bucks,2,$1.00,-179.54,396.0,216.46,12.15,-109.47899999999996,0.0
Yilber Diaz,ARI,SP,,FA,,,28.98,99.0,127.98,4.04,-210.418,0.0
Kyle Hendricks,LAA,SP,35.0,FA,1,$1.00,-5.98,221.0,215.02,9.93,-110.91899999999995,0.0
Joe Boyle,TBR,SP,,FA,,,6.22,120.0,126.22,4.6,-212.17800000000005,0.0
Landon Knack,LAD,SP,,FA,,,-0.79,127.0,126.21,4.18,-212.18800000000005,0.0
Gunnar Hoglund,ATH,SP,,FA,,,123.9,0.0,123.9,4.74,-214.498,0.0
Jack Leiter,TEX,SP/RP,25.0,Country Strong,6,$1.00,71.72,141.0,212.72,7.16,-113.21899999999997,0.0
Quinn Mathews,STL,SP,,FA,,,139.27,73.0,212.27,8.9,-113.66899999999995,0.0
Valente Bellozo,MIA,SP,,FA,,,-70.94,187.0,116.06,5.29,-222.338,0.0
Josh Winckowski,BOS,SP/RP,,FA,,,-20.04,135.0,114.96,2.78,-223.43800000000005,0.0
DL Hall,MIL,SP/RP,26.0,Structure Fire,2,$1.00,-157.25,272.0,114.75,4.35,-223.648,0.0
Graham Ashcraft,CIN,SP,27.0,West Coast Spartans,0,AAA opt,66.27,47.0,113.27,2.98,-225.12800000000004,0.0
Brady Basso,ATH,SP,,FA,,,39.94,73.0,112.94,3.51,-225.45800000000003,0.0
Bobby Miller,LAD,SP,26.0,Orlando Renegades,2,$1.00,8.45,104.0,112.45,4.04,-225.94800000000004,0.0
Bubba Chandler,PIT,SP,,Orlando Renegades,U,$-,77.42,129.0,206.42,12.29,-119.51899999999998,0.0
Carson Spiers,CIN,SP/RP,,FA,,,10.42,97.0,107.42,3.55,-230.978,0.0
Tristan Beck,SFG,SP/RP,,FA,,,-33.98,141.0,107.02,2.94,-231.37800000000004,0.0
Tyler Alexander,MIL,SP/RP,,FA,,,-51.27,158.0,106.73,3.56,-231.668,0.0
Taijuan Walker,PHI,SP,32.0,Young Bucks,0,AAA opt,-7.37,114.0,106.63,3.61,-231.76800000000003,0.0
Chase Silseth,LAA,SP,25.0,Detroit Nittany Tide,2,$1.00,-4.93,111.0,106.07,3.6,-232.32800000000003,0.0
Cade Povich,BAL,SP,,FA,,,157.89,44.0,201.89,9.56,-124.04899999999998,0.0
JT Brubaker,NYY,SP/RP,,FA,,,35.82,65.0,100.82,3.22,-237.57800000000003,0.0
Hogan Harris,ATH,SP/RP,,FA,,,30.45,69.0,99.45,3.05,-238.94800000000004,0.0
Shane Bieber,CLE,SP,30.0,FA,1,$1.00,30.72,168.0,198.72,11.78,-127.21899999999997,0.0
Slade Cecconi,CLE,SP/RP,,FA,,,-14.7,110.0,95.3,3.65,-243.098,0.0
Mike Burrows,PIT,SP,,FA,,,61.87,33.0,94.87,3.76,-243.528,0.0
Richard Fitts,BOS,SP,,FA,,,80.82,14.0,94.82,3.95,-243.57800000000003,0.0
Alex Cobb,DET,SP,,FA,,,-70.73,268.0,197.27,12.1,-128.66899999999995,0.0
Jacob Waguespack,TBR,SP/RP,,FA,,,51.65,41.0,92.65,3.04,-245.748,0.0
Chayce McDermott,BAL,SP,,FA,,,41.17,51.0,92.17,5.66,-246.228,0.0
Zack Thompson,STL,SP,,FA,,,8.17,83.0,91.17,2.99,-247.228,0.0
Mason Black,SFG,SP,,FA,,,53.99,37.0,90.99,3.93,-247.408,0.0
Doug Nikhazy,CLE,SP,,FA,,,90.47,0.0,90.47,2.67,-247.92800000000005,0.0
Brent Headrick,NYY,SP/RP,,FA,,,35.57,53.0,88.57,3.02,-249.82800000000003,0.0
Matt Manning,DET,SP,27.0,Springfield Zephyrs,1,$1.00,-60.8,149.0,88.2,3.91,-250.19800000000004,0.0
Antonio Senzatela,COL,SP,,FA,,,28.4,166.0,194.4,6.92,-131.53899999999996,0.0
Jake Bloss,TOR,SP,,FA,,,3.72,83.0,86.72,4.85,-251.67800000000005,0.0
Trevor Rogers,BAL,SP,27.0,Springfield Zephyrs,U,$-,-60.29,147.0,86.71,4.76,-251.68800000000005,0.0
Keider Montero,DET,SP,,FA,,,-115.34,202.0,86.66,5.25,-251.73800000000003,0.0
Quinn Priester,BOS,SP/RP,24.0,FA,1,$1.00,18.47,68.0,86.47,3.68,-251.92800000000005,0.0
Eury Perez,MIA,SP,,FA,,,125.81,68.0,193.81,13.1,-132.12899999999996,0.0
Keaton Winn,SFG,SP,27.0,FA,1,$1.00,-34.0,120.0,86.0,3.84,-252.398,0.0
Mike Clevinger,CHW,SP,,FA,,,5.41,79.0,84.41,3.73,-253.98800000000003,0.0
Triston McKenzie,CLE,SP,27.0,Ryno World,1,$2.90,42.77,150.0,192.77,7.4,-133.16899999999995,0.0
Sawyer Gipson-Long,DET,SP,,FA,,,40.11,44.0,84.11,3.84,-254.288,0.0
Jacob Misiorowski,MIL,SP/RP,,West Coast Spartans,U,$-,8.68,72.0,80.68,2.77,-257.718,0.0
Braxton Ashcraft,PIT,SP,,FA,,,32.33,47.0,79.33,3.42,-259.06800000000004,0.0
Chase Dollander,COL,SP,,Cheating Raiders,U,$-,100.81,89.0,189.81,11.11,-136.12899999999996,0.0
Jairo Iriarte,CHW,SP,,FA,,,16.78,60.0,76.78,3.54,-261.61800000000005,0.0
Drew Thorpe,CHW,SP,24.0,Cheating Raiders,U,$-,-21.81,210.0,188.19,11.38,-137.74899999999997,0.0
Justin Wrobleski,LAD,SP/RP,,FA,,,-75.72,150.0,74.28,3.22,-264.11800000000005,0.0
Mike Vasil,TBR,SP,,FA,,,38.46,35.0,73.46,2.48,-264.93800000000005,0.0
Yoendrys Gomez,NYY,SP/RP,,FA,,,27.67,43.0,70.67,3.23,-267.728,0.0
Tyler Phillips,PHI,SP,,FA,,,59.48,11.0,70.48,3.14,-267.918,0.0
Cooper Criswell,BOS,SP/RP,,FA,,,-37.17,107.0,69.83,3.76,-268.56800000000004,0.0
Gordon Graceffo,STL,SP,,FA,,,35.74,33.0,68.74,3.44,-269.658,0.0
Trevor McDonald,SFG,SP,,FA,,,34.54,34.0,68.54,2.74,-269.858,0.0
Ben Casparius,LAD,SP,,FA,,,30.07,38.0,68.07,3.59,-270.32800000000003,0.0
Connor Gillispie,MIA,SP/RP,,FA,,,27.89,40.0,67.89,2.82,-270.50800000000004,0.0
Brandon Young,BAL,SP,,FA,,,6.37,61.0,67.37,3.0,-271.028,0.0
Michael Mercado,PHI,SP/RP,,FA,,,35.53,30.0,65.53,2.94,-272.86800000000005,0.0
Blake Walston,ARI,SP/RP,,FA,,,21.78,43.0,64.78,3.12,-273.61800000000005,0.0
Carson Whisenhunt,SFG,SP,,Midtown Jaguars,U,$-,30.22,34.0,64.22,4.58,-274.178,0.0
Bradley Blalock,COL,SP,,FA,,,0.89,61.0,61.89,3.72,-276.50800000000004,0.0
Clayton Beeter,NYY,SP/RP,,FA,,,-10.19,71.0,60.81,2.92,-277.588,0.0
Tommy Henry,ARI,SP,,FA,,,-5.19,66.0,60.81,2.94,-277.588,0.0
Sam Bachman,LAA,SP,,Ryno World,U,$-,60.56,0.0,60.56,2.77,-277.838,0.0
Cody Poteet,CHC,SP,,FA,,,-46.51,106.0,59.49,3.56,-278.908,0.0
Tanner Gordon,COL,SP,,FA,,,-7.12,66.0,58.88,2.53,-279.51800000000003,0.0
Jacob Lopez,ATH,SP,,FA,,,11.6,47.0,58.6,3.07,-279.798,0.0
Jackson Rutledge,WSN,SP,,FA,,,20.38,38.0,58.38,2.96,-280.01800000000003,0.0
Ian Anderson,ATL,SP,,Detroit Nittany Tide,1,60%,74.47,104.0,178.47,9.31,-147.46899999999997,0.0
Ross Stripling,KCR,SP/RP,,FA,,,-16.59,71.0,54.41,3.78,-283.98800000000006,0.0
Noah Cameron,KCR,SP,,FA,,,8.39,46.0,54.39,3.07,-284.00800000000004,0.0
Jonathan Bowlan,KCR,SP/RP,,FA,,,17.15,36.0,53.15,2.55,-285.24800000000005,0.0
Ty Madden,DET,SP,25.0,Cheating Raiders,U,$-,-4.89,58.0,53.11,2.84,-285.288,0.0
J.P. France,HOU,SP,,FA,,,-71.12,123.0,51.88,3.98,-286.51800000000003,0.0
Cristian Javier,HOU,SP,28.0,FA,1,$1.00,-99.58,151.0,51.42,3.62,-286.978,0.0
Carson Ragsdale,SFG,SP,,FA,,,6.48,43.0,49.48,2.8,-288.918,0.0
Connor Phillips,CIN,SP,,Structure Fire,U,$-,31.28,17.0,48.28,2.51,-290.11800000000005,0.0
Sem Robberse,STL,SP,,FA,,,-23.16,71.0,47.84,2.69,-290.558,0.0
Carson Fulmer,PIT,SP/RP,,FA,,,-49.66,97.0,47.34,3.41,-291.058,0.0
Carson Seymour,SFG,SP,,FA,,,8.27,39.0,47.27,2.47,-291.12800000000004,0.0
Roddery Munoz,STL,SP,,FA,,,-60.81,108.0,47.19,3.09,-291.208,0.0
Caleb Kilian,CHC,SP/RP,,FA,,,6.99,40.0,46.99,3.27,-291.408,0.0
Tyler Wells,BAL,SP,30.0,FA,1,$1.00,-82.7,129.0,46.3,3.29,-292.098,0.0
Penn Murfee,CHW,SP,,FA,,,-55.04,100.0,44.96,2.58,-293.43800000000005,0.0
Joe Rock,TBR,SP,,FA,,,44.76,0.0,44.76,3.17,-293.63800000000003,0.0
Ryan Webb,CLE,SP,,FA,,,44.36,0.0,44.36,2.39,-294.038,0.0
Xzavion Curry,MIA,SP/RP,,FA,,,-28.67,72.0,43.33,2.56,-295.06800000000004,0.0
Chris Flexen,CHC,SP,,FA,,,-86.59,129.0,42.41,2.66,-295.98800000000006,0.0
Dylan Dodd,ATL,SP,,FA,,,-14.85,57.0,42.15,2.47,-296.24800000000005,0.0
Victor Mederos,LAA,SP,,FA,,,22.32,18.0,40.32,2.09,-298.07800000000003,0.0
Davis Daniel,ATL,SP,,FA,,,-27.99,68.0,40.01,3.18,-298.38800000000003,0.0
Alan Rangel,PHI,SP/RP,,FA,,,-30.73,69.0,38.27,2.49,-300.12800000000004,0.0
Kyle Tyler,PHI,SP,,FA,,,36.77,0.0,36.77,2.65,-301.62800000000004,0.0
Matt Waldron,SDP,SP,28.0,FA,1,$1.00,-65.33,233.0,167.67,8.69,-158.26899999999998,0.0
Janson Junk,MIA,SP/RP,,FA,,,35.56,0.0,35.56,2.47,-302.838,0.0
Mick Abel,PHI,SP,,West Coast Spartans,U,$-,35.24,0.0,35.24,2.35,-303.158,0.0
Thaddeus Ward,BAL,SP,,FA,,,-7.0,41.0,34.0,2.42,-304.398,0.0
Seth Johnson,PHI,SP,,FA,,,3.54,30.0,33.54,2.3,-304.858,0.0
Jack Kochanowicz,LAA,SP,,FA,,,54.13,112.0,166.13,7.29,-159.80899999999997,0.0
Joey Lucchesi,SFG,SP/RP,,FA,,,-8.2,41.0,32.8,2.51,-305.598,0.0
Huascar Ynoa,MIN,SP/RP,,FA,1,$1.00,-11.58,43.0,31.42,2.61,-306.978,0.0
Jose Urena,NYM,SP/RP,,FA,,,-17.74,48.0,30.26,2.66,-308.13800000000003,0.0
Zach Penrod,BOS,SP/RP,,FA,,,-14.77,45.0,30.23,2.19,-308.168,0.0
Patrick Corbin,,SP,35.0,FA,1,$1.00,-177.87,342.0,164.13,10.9,-161.80899999999997,0.0
Dakota Hudson,LAA,SP,30.0,FA,1,$1.00,-89.71,118.0,28.29,2.35,-310.108,0.0
Jake Woodford,COL,SP,,FA,,,-52.13,78.0,25.87,2.31,-312.528,0.0
Jake Eder,CHW,SP,,FA,,,4.7,20.0,24.7,2.4,-313.69800000000004,0.0
Taylor Clarke,KCR,SP/RP,,FA,,,24.66,0.0,24.66,2.36,-313.738,0.0
Owen White,CHW,SP/RP,,FA,,,1.68,21.0,22.68,1.77,-315.718,0.0
Cade Cavalli,WSN,SP,,Young Bucks,U,$-,-2.75,162.0,159.25,7.95,-166.68899999999996,0.0
Andrew Painter,PHI,SP,,West Coast Spartans,11,$1.05,17.13,132.0,149.13,9.46,-176.80899999999997,0.0
Gerrit Cole,NYY,SP,34.0,Orlando Renegades,2,$2.20,-372.98,520.0,147.02,16.25,-178.91899999999995,0.0
Clayton Kershaw,LAD,SP,37.0,FA,1,$1.00,-83.96,226.0,142.04,13.52,-183.899,0.0
Caden Dana,LAA,SP,,FA,,,47.83,91.0,138.83,11.67,-187.10899999999995,0.0
Randy Vasquez,SDP,SP,,FA,,,20.9,116.0,136.9,6.64,-189.039,0.0
Emerson Hancock,SEA,SP,,FA,,,38.83,82.0,120.83,7.16,-205.109,0.0
Bryce Elder,ATL,SP,26.0,FA,1,$1.00,-41.28,159.0,117.72,7.97,-208.219,0.0
Lance McCullers Jr.,HOU,SP,,FA,,,-71.8,187.0,115.2,7.26,-210.739,0.0
Nick Nastrini,CHW,SP,,FA,,,51.15,61.0,112.15,6.68,-213.789,0.0
Jordan Wicks,CHC,SP,25.0,Cheating Raiders,U,$-,72.65,37.0,109.65,6.49,-216.289,0.0
Spencer Turnbull,,SP/RP,,FA,,,-82.69,181.0,98.31,10.77,-227.629,0.0
Anthony DeSclafani,,SP,,FA,,,-91.94,180.0,88.06,10.36,-237.879,0.0
Alex Wood,,SP,,FA,,,-9.61,94.0,84.39,9.01,-241.549,0.0
Noah Schultz,CHW,SP,,Midtown Jaguars,U,$-,40.05,44.0,84.05,11.63,-241.88899999999995,0.0
Logan Allen,CLE,SP,26.0,Bayou Shooters,2,$1.00,-19.17,96.0,76.83,11.27,-249.109,0.0
Adam Mazur,MIA,SP,,FA,,,-24.73,101.0,76.27,9.09,-249.669,0.0
John Means,CLE,SP,32.0,FA,1,$1.00,66.88,0.0,66.88,10.61,-259.059,0.0
Domingo German,,SP/RP,,FA,,,66.57,0.0,66.57,9.21,-259.369,0.0
Adam Oller,MIA,SP,,FA,,,3.12,60.0,63.12,5.7,-262.819,0.0
Brandon Sproat,NYM,SP,,FA,,,-26.58,87.0,60.42,11.47,-265.51899999999995,0.0
Ian Seymour,TBR,SP,,FA,,,-66.91,127.0,60.09,4.7,-265.84899999999993,0.0
Ken Waldichuk,ATH,SP/RP,,Springfield Zephyrs,1,$1.00,-6.65,64.0,57.35,8.75,-268.58899999999994,0.0
Cole Irvin,,SP/RP,,FA,,,-192.78,245.0,52.22,6.86,-273.71899999999994,0.0
Alek Manoah,TOR,SP,27.0,FA,1,$1.00,-72.49,123.0,50.51,5.33,-275.429,0.0
Tink Hence,STL,SP,,Springfield Zephyrs,U,$-,49.01,0.0,49.01,12.83,-276.929,0.0
Hurston Waldrep,ATL,SP,23.0,Bayou Shooters,U,$-,10.54,38.0,48.54,4.69,-277.39899999999994,0.0
Carlos Rodriguez,MIL,SP,,FA,,,46.17,0.0,46.17,4.9,-279.76899999999995,0.0
Wade Miley,CIN,SP,,FA,,,-22.45,67.0,44.55,9.77,-281.38899999999995,0.0
Allan Winans,NYY,SP/RP,,FA,,,-31.02,74.0,42.98,4.48,-282.95899999999995,0.0
Robby Snelling,MIA,SP,,Springfield Zephyrs,U,$-,-4.15,47.0,42.85,9.91,-283.08899999999994,0.0
Colton Gordon,HOU,SP,,FA,,,42.72,0.0,42.72,3.95,-283.21899999999994,0.0
Chase Petty,CIN,SP,,FA,,,13.13,27.0,40.13,3.94,-285.809,0.0
Logan Evans,SEA,SP/RP,,FA,,,-8.91,47.0,38.09,4.3,-287.84899999999993,0.0
Kyle Bradish,BAL,SP,28.0,FA,1,$1.00,-8.21,45.0,36.79,6.0,-289.14899999999994,0.0
Patrick Sandoval,BOS,SP,28.0,Bayou Shooters,0,AAA opt,-111.73,148.0,36.27,5.68,-289.669,0.0
Cristian Mena,ARI,SP,,FA,,,0.69,35.0,35.69,3.62,-290.249,0.0
Adrian Houser,TEX,SP/RP,32.0,FA,1,$1.00,-82.41,118.0,35.59,5.46,-290.34899999999993,0.0
Noah Syndergaard,,SP,,FA,1,$1.00,-127.7,163.0,35.3,10.63,-290.63899999999995,0.0
Kenny Rosenberg,,SP,,FA,,,-35.35,70.0,34.65,7.77,-291.289,0.0
Kai-Wei Teng,SFG,SP/RP,,FA,,,33.58,0.0,33.58,3.41,-292.359,0.0
Sam Aldegheri,LAA,SP,,FA,,,-31.59,64.0,32.41,10.15,-293.529,0.0
Carlos Carrasco,NYY,SP,,FA,,,-116.34,148.0,31.66,4.16,-294.27899999999994,0.0
Emiliano Teodo,TEX,SP,,FA,,,31.54,0.0,31.54,3.76,-294.39899999999994,0.0
Kolby Allard,CLE,SP/RP,,FA,,,-10.99,42.0,31.01,4.56,-294.929,0.0
Jose Urquidy,DET,SP,,FA,1,$1.00,-97.03,128.0,30.97,10.89,-294.96899999999994,0.0
Thomas Harrington,PIT,SP,,FA,,,-2.99,33.0,30.01,8.54,-295.929,0.0
Joan Adon,WSN,SP/RP,,FA,,,-7.61,37.0,29.39,3.13,-296.549,0.0
Drew Rom,STL,SP,,FA,,,-19.88,49.0,29.12,7.91,-296.819,0.0
Marco Gonzales,,SP,,FA,,,28.74,0.0,28.74,9.93,-297.199,0.0
Emmet Sheehan,LAD,SP,,FA,1,$1.00,-79.77,108.0,28.23,5.65,-297.70899999999995,0.0
Darren McCaughan,MIN,SP/RP,,FA,,,-48.67,76.0,27.33,6.5,-298.609,0.0
Lyon Richardson,CIN,SP/RP,,FA,,,0.44,26.0,26.44,2.45,-299.499,0.0
Jhonathan Diaz,SEA,SP,,FA,,,-18.19,42.0,23.81,6.35,-302.129,0.0
Randy Dobnak,MIN,SP/RP,,FA,,,-17.0,40.0,23.0,2.68,-302.939,0.0
James Kaprielian,,SP,,FA,,,22.7,0.0,22.7,8.15,-303.239,0.0
Logan Henderson,MIL,SP,,FA,,,7.67,15.0,22.67,3.34,-303.26899999999995,0.0
Sixto Sanchez,MIA,SP/RP,26.0,FA,1,$1.00,-71.09,93.0,21.91,5.06,-304.02899999999994,0.0
Will Dion,CLE,SP,,FA,,,21.84,0.0,21.84,2.34,-304.099,0.0
Elvin Rodriguez,MIL,SP,,FA,,,-78.65,100.0,21.35,2.36,-304.58899999999994,0.0
Josiah Gray,WSN,SP,27.0,Structure Fire,1,40%,-12.28,33.0,20.72,5.09,-305.21899999999994,0.0
Andrew Wantz,TBR,SP/RP,,FA,,,-1.77,22.0,20.23,3.15,-305.70899999999995,0.0
Jimmy Lambert,,SP,,FA,,,-37.33,57.0,19.67,2.48,-306.26899999999995,0.0
Dane Acker,TEX,SP/RP,,FA,,,18.32,0.0,18.32,6.01,-307.619,0.0
Bruce Zimmermann,MIL,SP/RP,,FA,,,17.74,0.0,17.74,4.17,-308.199,0.0
Nabil Crismatt,PHI,SP/RP,,FA,,,-27.62,45.0,17.38,3.11,-308.559,0.0
Royber Salinas,ATL,SP,,FA,,,-33.91,48.0,14.09,3.34,-311.849,0.0
Mason Barnett,ATH,SP,,FA,,,-44.81,58.0,13.19,8.34,-312.749,0.0
Tekoah Roby,STL,SP,,FA,,,13.12,0.0,13.12,9.21,-312.819,0.0
Jack O'Loughlin,COL,SP/RP,,FA,,,-39.63,52.0,12.37,2.01,-313.569,0.0
Shaun Anderson,LAA,SP/RP,,FA,,,-55.06,67.0,11.94,2.0,-313.999,0.0
Ky Bush,CHW,SP,,FA,,,-14.07,26.0,11.93,4.54,-314.009,0.0
Justin Dunn,CHW,SP,,FA,,,-37.35,48.0,10.65,2.01,-315.289,0.0
Wikelman Gonzalez,CHW,SP,,FA,,,9.51,0.0,9.51,7.67,-316.429,0.0
Jesse Scholtens,CHW,SP/RP,,FA,,,-14.57,23.0,8.43,5.21,-317.509,0.0
Paolo Espino,,SP,,FA,,,5.87,0.0,5.87,3.11,-320.069,0.0
